iter	MultiClass
0	1.567290304
1	1.529755096
2	1.498095962
3	1.468264769
4	1.441094124
5	1.419103243
6	1.396355984
7	1.377693165
8	1.357206324
9	1.340959381
10	1.326174123
11	1.311893522
12	1.300170896
13	1.288977112
14	1.277211642
15	1.267593131
16	1.256451078
17	1.24473939
18	1.23418514
19	1.225268163
20	1.216882517
21	1.208461078
22	1.201641692
23	1.194561945
24	1.188527387
25	1.181250561
26	1.171774184
27	1.166846103
28	1.162929781
29	1.156572206
30	1.152192774
31	1.146630409
32	1.14186755
33	1.13613042
34	1.132348991
35	1.126742784
36	1.121245086
37	1.11793455
38	1.112512487
39	1.108379251
40	1.104506379
41	1.100292641
42	1.095961307
43	1.091458804
44	1.085473609
45	1.079977134
46	1.077227996
47	1.074036126
48	1.071678138
49	1.068989523
50	1.066915772
51	1.064564107
52	1.061558171
53	1.056676658
54	1.05192566
55	1.045392112
56	1.03982904
57	1.036203181
58	1.034337544
59	1.032443465
60	1.029675075
61	1.026253924
62	1.024735516
63	1.022994266
64	1.021804189
65	1.020386312
66	1.01690513
67	1.012004146
68	1.007428312
69	1.002538987
70	0.9971955746
71	0.9953884704
72	0.9927961534
73	0.9893776428
74	0.9875369252
75	0.9837081194
76	0.9830946459
77	0.9822701955
78	0.9780392439
79	0.9759988948
80	0.9735332362
81	0.9716176225
82	0.9702997686
83	0.9655065357
84	0.9645173979
85	0.9628049096
86	0.9593405845
87	0.9540301551
88	0.9524272094
89	0.9494904422
90	0.9485390512
91	0.9476018325
92	0.9411241936
93	0.9394867464
94	0.9365664978
95	0.9357840054
96	0.9322865586
97	0.9290796895
98	0.9273183954
99	0.9261685013
100	0.924029606
101	0.9231187229
102	0.9227008706
103	0.921318951
104	0.919588886
105	0.9183857821
106	0.9147815285
107	0.9140854767
108	0.9076534813
109	0.9054822702
110	0.903880306
111	0.9020988571
112	0.9007445968
113	0.8990796596
114	0.8940091751
115	0.892189415
116	0.8894628613
117	0.8884058228
118	0.8861914244
119	0.8848193573
120	0.8809904684
121	0.8775320238
122	0.8744878663
123	0.8734284701
124	0.8726796932
125	0.8714546379
126	0.8704662123
127	0.8683684466
128	0.8640047381
129	0.8598781174
130	0.853446307
131	0.8496580408
132	0.845600634
133	0.8445719091
134	0.8377152444
135	0.8367676983
136	0.8336568268
137	0.8313888437
138	0.8299287974
139	0.8266403556
140	0.8252891715
141	0.8244251742
142	0.821769457
143	0.8207410431
144	0.8195143028
145	0.8151852293
146	0.8127483529
147	0.8112073443
148	0.807777718
149	0.8066220959
150	0.8057434763
151	0.8030523361
152	0.8014035848
153	0.7991892801
154	0.7979654015
155	0.7948426973
156	0.793871355
157	0.7897147272
158	0.7885083942
159	0.7861253185
160	0.7854192249
161	0.7835731613
162	0.7809982776
163	0.7803931281
164	0.7783695886
165	0.7752382286
166	0.7739795697
167	0.7731022468
168	0.7710488548
169	0.7703687902
170	0.7686730834
171	0.7683306225
172	0.7641688394
173	0.76309299
174	0.7604106631
175	0.75977961
176	0.7590748862
177	0.758351192
178	0.7562657819
179	0.7535909984
180	0.7518326212
181	0.7511731858
182	0.7487026232
183	0.7479364592
184	0.7464212278
185	0.7458652737
186	0.7433434265
187	0.7424327943
188	0.7415042096
189	0.7397198326
190	0.7366940426
191	0.7340764031
192	0.7307198051
193	0.7300874574
194	0.7288082039
195	0.7280025665
196	0.7252902679
197	0.7243290794
198	0.7237107365
199	0.7208599948
200	0.7189140234
201	0.716231186
202	0.7141309936
203	0.7117254179
204	0.7065901267
205	0.7044696085
206	0.7018321506
207	0.6968244681
208	0.6949729245
209	0.6942089285
210	0.6935578828
211	0.6926085437
212	0.6907292269
213	0.6884092987
214	0.6878515055
215	0.6853696343
216	0.6830080306
217	0.6820693512
218	0.681518997
219	0.6795414436
220	0.6780717501
221	0.6754353709
222	0.6749008345
223	0.674493487
224	0.6733912012
225	0.6719188594
226	0.6713989635
227	0.670819688
228	0.6686363354
229	0.6656855573
230	0.6642764335
231	0.6629967477
232	0.6605379022
233	0.6581922618
234	0.6554341613
235	0.655002995
236	0.6542359379
237	0.6515480635
238	0.6488754877
239	0.6479159743
240	0.6471993593
241	0.6467071121
242	0.6456355781
243	0.6426156553
244	0.6418522927
245	0.6410266572
246	0.6397645296
247	0.6386611484
248	0.6367596997
249	0.6361196565
250	0.635291695
251	0.6325183567
252	0.6318626954
253	0.6309703832
254	0.6303109541
255	0.6297069052
256	0.6293099733
257	0.6280584655
258	0.6275882448
259	0.6267287224
260	0.6260124886
261	0.6243408285
262	0.6239897334
263	0.6216028389
264	0.6210934735
265	0.6194332843
266	0.6171816965
267	0.6164040911
268	0.615957857
269	0.6144495489
270	0.613945551
271	0.6132244325
272	0.6107694641
273	0.6096719574
274	0.6084208754
275	0.604825538
276	0.6043300944
277	0.6030864644
278	0.5997549534
279	0.5991728196
280	0.5981067868
281	0.597716339
282	0.596629965
283	0.594340813
284	0.5898503384
285	0.589061095
286	0.5876556719
287	0.5872038157
288	0.5835014814
289	0.5829491092
290	0.5810603586
291	0.5780157718
292	0.5761266313
293	0.5735955579
294	0.5713238877
295	0.5705681443
296	0.5701626498
297	0.5693965791
298	0.5673238235
299	0.5666307559
300	0.5660950698
301	0.5634647708
302	0.56066064
303	0.5603030386
304	0.5594171955
305	0.5588577744
306	0.5578077779
307	0.5570503591
308	0.5565738844
309	0.5560927715
310	0.5552273632
311	0.5547891716
312	0.5542063061
313	0.5529816259
314	0.5526050466
315	0.5513403808
316	0.5483533224
317	0.5473286498
